name,classes_title,email,password,authorisation
Molly Schaefer,,mollyroseschaefer@gmail.com,temp,0
Sophie McClintock,,sophiecatemcclintock@gmail.com,temp,0
Eva Tunnicliffe,,eva.wgtn@gmail.com,temp,0
Adia Kaletla,HIP HOP,adiajanice@gmail.com,temp,1
Tyisha Veness,JAZZ,tyisha.veness@hotmail.com,temp,1
Eric Rampy,CONTEMPORARY,erampy@rampy.co.uk,temp,1
Marg Grasmick,TAP,marg@hotmail.com,temp,1
Laquita Hisaw,JAZZ,laquita@yahoo.com,temp,1
Lura Manzella,HIP HOP,lura@hotmail.com,temp,1
Yuette Klapec,TAP,yuette.klapec@klapec.co.uk,temp,1
Fernanda Writer,CONTEMPORARY,fernanda@writer.co.uk,temp,1
Charlesetta Erm,TAP,charlesetta_erm@gmail.com,temp,1
Corrinne Jaret,HIP HOP,corrinne_jaret@gmail.com,temp,1
Niesha Bruch,HIP HOP,niesha.bruch@yahoo.com,temp,1
Rueben Gastellum,JAZZ,rueben_gastellum@gastellum.co.uk,temp,1
Michell Throssell,TAP,mthrossell@throssell.co.uk,temp,1
Edgar Kanne,HIP HOP,edgar.kanne@yahoo.com,temp,1
Dewitt Julio,CONTEMPORARY,dewitt.julio@hotmail.com,temp,1
Charisse Spinello,CONTEMPORARY,charisse_spinello@spinello.co.uk,temp,1
Mee Lapinski,JAZZ,mee.lapinski@yahoo.com,temp,1
Peter Gutierres,TAP,peter_gutierres@yahoo.com,temp,1
Octavio Salvadore,HIP HOP,octavio.salvadore@yahoo.com,temp,1
Martha Teplica,TAP,mteplica@teplica.co.uk,temp,1
Tamesha Veigel,CONTEMPORARY,tveigel@veigel.co.uk,temp,1
Tess Sitra,JAZZ,tess_sitra@hotmail.com,temp,1
Leonard Kufner,HIP HOP,lkufner@kufner.co.uk,temp,1
Svetlana Tauras,TAP,svetlana_tauras@tauras.co.uk,temp,1
Pok Molaison,JAZZ,pok@yahoo.com,temp,1
Augustine Growcock,CONTEMPORARY,augustine.growcock@growcock.co.uk,temp,1
Justine Salta,HIP HOP,justine_salta@yahoo.com,temp,1
Chantay Kamens,TAP,ckamens@hotmail.com,temp,1
Tequila Chisum,JAZZ,tequila.chisum@chisum.co.uk,temp,1
Maybelle Consolazio,HIP HOP,mconsolazio@yahoo.com,temp,1
Margarett Bario,HIP HOP,margarett@gmail.com,temp,1
Naomi Lavezzo,TAP,naomi.lavezzo@yahoo.com,temp,1
Aretha Bowling,JAZZ,aretha@hotmail.com,temp,1
Mila Figuera,HIP HOP,mila_figuera@yahoo.com,temp,1
Orville Zuehl,TAP,orville_zuehl@zuehl.co.uk,temp,1
Gabriele Geschke,HIP HOP,gabriele@geschke.co.uk,temp,1
Kara Jaquish,CONTEMPORARY,kara@yahoo.com,temp,1
Kenny Lin,JAZZ,kenny@lin.co.uk,temp,1
Vashti Sugai,TAP,vashti@gmail.com,temp,1
Jordan Handsaker,JAZZ,jordan_handsaker@gmail.com,temp,1
Carisa Desgenhardt,HIP HOP,carisa.degenhardt@degenhardt.co.uk,temp,1
Audrey Smith,CONTEMPORARY,adanaher@yahoo.com,temp,1
Shanna Burns,TAP,shaunna.rodamis@yahoo.com,temp,1
Coleen Lang,HIP HOP,coleen.langer@hotmail.com,temp,1
Katie Chang,CONTEMPORARY,katie@choinski.co.uk,temp,1
Dannie Brau,HIP HOP,dbrau@brau.co.uk,temp,1
Ashanti Donn,JAZZ,adonn@yahoo.com,temp,1
Madalyn Dubberly,JAZZ,madalyn.dubberly@gmail.com,temp,1
Santos Ero,TAP,santos@gmail.com,temp,1
Alyce Flamino,CONTEMPORARY,alyce@yahoo.com,temp,1
Pierce Le Blanc,HIP HOP,pero@hotmail.com,temp,1
Cherry Shad,HIP HOP,cherrie_nitschke@yahoo.com,temp,1
Maia Night,JAZZ,maia_shadd@gmail.com,temp,1
Edward King,TAP,edwin_logghe@hotmail.com,temp,1
Leigha Semenza,CONTEMPORARY,lsemenza@yahoo.com,temp,1
Walker Detamore,CONTEMPORARY,walker.seeger@yahoo.com,temp,1
Nakita George,TAP,nakita_rodrigues@gmail.com,temp,1
Katie Rodrigues ,HIP HOP,kozane@gmail.com,temp,1
Lamar Suite,JAZZ,lsuite@yahoo.com,temp,1
Juliana Uken,JAZZ,juliana.uken@yahoo.com,temp,1
Chan Loftin,CONTEMPORARY,chan@gmail.com,temp,1
Delpha Tivis,TAP,delpha.detamore@yahoo.com,temp,1
Floyd Hall,JAZZ,floyd_tivis@hotmail.com,temp,1
Chantell Besong,CONTEMPORARY,chantell_besong@gmail.com,temp,1
